Name,RAJ2000,DEJ2000,Maj. Diam (arcmin),Bmag,Kmag,HRV (km/s),D (Mpc),Maj. Diam (kpc),inclination,BMag
LeG12,161.0325,11.53305556,0.22,18.5,16.03,,10.4,0.67,41,-11.7
LeG13,161.24,11.91611111,0.42,17.43,14.99,871,10.4,1.25,81,-12.8
LeG09,160.6441667,12.15055556,0.71,18.5,14.3,,10.4,2.19,39,-11.7
LeG10,160.9808333,12.13527778,0.16,19.2,16.75,,10.4,0.49,20,-11
LeG17,161.6729167,12.32638889,0.58,16.98,12.79,1030,10.4,1.76,44,-13.2
LeG18,161.7220833,12.74444444,0.28,18.9,16.46,636,10.4,0.86,47,-11.3
LeG19,161.7283333,12.78805556,0.37,17.8,13.61,,10.4,1.13,52,-12.4
LeG21,161.7533333,12.95972222,0.25,18.6,16.13,843,10.4,0.77,47,-11.6
LeG14,161.56,12.96,0.36,18.7,14.51,,10.4,1.13,34,-11.5
KK94,161.73875,12.99833333,0.58,17.5,15.03,832,10.4,1.78,35,-12.7
LeG26,162.8379167,12.84916667,0.69,16.9,12.71,630,10.4,2.14,31,-13.3
NGC3412,162.7220833,13.41222222,3.98,11.44,7.67,846,10.4,12.09,66,-18.8
LeG23,162.5379167,13.48361111,0.18,19.1,16.62,,10.4,0.55,20,-11.1
AGC205540,162.8808333,14.11472222,0.32,18,15.52,832,10.4,0.97,60,-12.2
AGC202248,158.73375,11.49222222,0.37,17.5,15.08,1177,10.4,1.13,48,-12.7
NGC3299,159.0991667,12.7075,2.4,13.3,10.97,604,10.4,7.35,40,-17
FS04,160.50125,12.335,1,15.7,13,772,10.4,3,64,-14.5
UGC05812,160.2358333,12.47194444,1.48,15.5,12.81,1008,10.4,4.41,68,-14.7
LeG05,159.9304167,12.63444444,0.6,16.77,14.32,780,10.4,1.82,69,-13.4
LeG04,159.9175,12.735,0.52,18.7,16.24,,10.4,1.58,72,-11.5
AGC205268,160.7183333,13.74111111,0.38,17.4,14.93,1145,10.4,1.15,64,-12.8
LeG06,159.9820833,13.90777778,0.63,18.3,15.81,1007,10.4,1.94,57,-11.9
AGC205445,161.1470833,13.93972222,0.6,16.4,12.17,633,10.4,1.87,37,-13.8
KK93,161.6033333,14.025,0.58,18,13.78,,10.4,1.8,24,-12.2
AGC205165,159.27,15.3375,0.72,16.4,13.9,724,10.4,2.24,48,-13.9
LeG11,161.00875,15.58888889,0.35,18.8,16.32,,10.4,1.08,29,-11.4
AGC205278,164.7170833,14.12944444,0.54,17.3,14.88,686,10.4,1.63,54,-12.9
LSBC D640-08,165.2170833,13.88083333,0.81,16.96,12.8,,10.4,2.46,75,-13.2
LeG33,165.1883333,14.17222222,0.35,18.6,16.18,,10.4,1.04,67,-11.6
LeG27,163.08375,14.70722222,0.37,18.6,14.42,,10.4,1.13,57,-11.6
AGC205544,163.02,15.03055556,0.45,17.1,12.92,828,10.4,1.37,41,-13.1
NGC3368,161.6908333,11.81972222,8.91,10.11,6.32,893,10.42,27.25,49,-20.4
AGC215354,169.81625,14.29027778,0.5,17.4,14.96,790,10.42,1.52,62,-12.8
AGC205156,157.7204167,12.44666667,0.16,18.6,16.13,915,10.43,0.49,20,-11.6
DDO123,186.53375,58.3225,2.78,14.5,11.85,722,10.5,8.5,38,-15.7
KDG235,255.1054167,70.29,1.29,16.8,14.31,443,10.6,4.07,40,-13.5
UGC07512,186.4220833,2.158888889,1.45,15.2,12.78,1506,10.6,4.42,70,-15
UGC06145,166.3958333,-1.863611111,1.38,16.45,13.88,753,10.7,4.42,66,-13.9
KKSG22,166.5320833,-1.448611111,0.5,18.2,15.67,,10.7,1.61,41,-12.2
NGC3521,166.4525,-0.035833333,10.96,9.83,5.78,797,10.7,34.92,66,-21.2
KKSG20,166.1691667,0.058333333,0.52,17.51,15.01,835,10.7,1.68,41,-12.8
NGC3521sat,166.4195833,0.120833333,2.51,16.2,11.9,,10.7,8.13,45,-14.2
CGMW1-260,99.50041667,-15.02277778,3.16,13.7,10,746,10.8,13.13,65,-18.3
NGC3593,168.6495833,12.81861111,5.89,11.85,7.42,631,10.8,18.2,73,-18.9
DDO083,159.1804167,31.54666667,2.04,15.41,13.41,582,10.9,6.36,90,-14.9
NGC3377,161.9266667,13.98555556,5.25,11.24,7.44,678,10.91,16.95,68,-19.1
UGCA298,191.7308333,26.56416667,0.89,15.25,12.43,844,11,2.86,44,-15
AGC202256,168.6875,12.6475,0.4,16.7,14.28,630,11,1.27,61,-13.6
UGC05944,162.5795833,13.27194444,1.12,15.6,12,1073,11.07,3.71,16,-14.8
LV J1018+4109,154.5925,41.16583333,0.38,18.4,14.25,,11.1,1.24,34,-11.9
NGC3184,154.5708333,41.42444444,7.41,10.36,7.23,592,11.12,24.27,22,-20
KUG 1013+414,154.065,41.16638889,1.13,15.4,12.73,518,11.12,3.58,68,-14.9
NGC3379,161.9566667,12.58166667,5.37,10.24,6.27,923,11.12,17.86,33,-20.1
UGC07690,188.1120833,42.70416667,2.09,13.13,11.4,536,11.2,6.94,38,-17.3
NGC3384,162.0704167,12.62916667,5.5,10.85,6.75,704,11.38,18.09,80,-19.6
UGC05672,157.0870833,22.57138889,3.09,14.65,11.55,531,11.4,9.95,76,-15.7
ESO348-009,357.3475,-37.77361111,2.29,14.81,12.41,647,11.5,7.45,90,-15.6
MAPS1236+33,189.2058333,33.61333333,0.56,16.9,14.49,526,11.7,1.88,83,-13.5
NGC3413,162.83625,32.76638889,2.22,13.23,10.36,634,12.02,7.72,60,-17.5
NGC3489,165.0775,13.90111111,3.8,11.12,7.37,695,12.08,13.26,60,-19.5
IC2233,123.4954167,45.74222222,4.9,13.07,10.76,557,12.2,16.69,90,-18.3
NGC2537,123.31125,45.99055556,2.57,12.27,9.13,449,12.2,9.54,29,-18.4
UGC12713,354.5604167,30.70916667,1.78,14.81,11.5,295,12.2,6.49,63,-16
NGC2541,123.6670833,49.06166667,7.08,12.26,10.09,559,12.4,26.11,59,-18.7
NGC2552,124.8354167,50.00972222,3.72,12.69,10,524,12.4,13.83,43,-18.1
NGC2500,120.4716667,50.73722222,3.31,12.23,9.28,514,12.4,12.31,33,-18.5
LV J0812+4836,123.1645833,48.6125,0.52,17.1,14.55,521,12.42,1.88,90,-13.6
IC2992,181.31625,30.85555556,0.83,15.02,12.44,599,12.7,3.11,38,-15.6
IC3308,186.3245833,26.71472222,1.55,15.41,12.51,316,12.8,5.58,77,-15.5
UGC07267,183.8483333,51.35,2.09,14.79,11.94,473,12.9,7.67,73,-16
CGCG 035-007,143.6870833,6.425555556,1.07,15.22,12.68,552,13,4.14,59,-15.6
AGC731448,155.9375,27.11083333,0.48,16.6,14.14,540,13.5,1.9,56,-14.2
DDO097,177.2383333,23.83777778,1.58,15.14,12.65,522,13.74,6.48,27,-15.7
